who,problem,when,try,problem_len,input_len,output_len,diff,result
*Mtaylor,E,2024-05-26 18:30:00,15,238,45,215,2,0
*Muhammad123890,C,2024-05-26 18:37:00,2,133,64,14,1,0
*Muhammad123890,D,2024-05-26 18:57:00,2,60,60,56,1,0
*Muhammad123890,B,2024-05-26 18:59:00,2,67,38,37,0,0
*NaCiRa,B,2024-05-26 19:20:00,2,67,38,37,0,0
*Nayeem_11720,B,2024-05-26 18:53:00,2,67,38,37,0,0
*Nikhil__14k,B,2024-05-26 19:15:00,2,67,38,37,0,0
*NinaWalker,B,2024-05-26 18:50:00,2,67,38,37,0,0
*Noinoiio,C,2024-05-26 18:33:00,2,133,64,14,1,1
*Noinoiio,D,2024-05-26 18:54:00,2,60,60,56,1,1
*Noinoiio,E,2024-05-26 19:10:00,5,238,45,215,2,1
*Noobish_Monk,C,2024-05-26 18:27:00,4,133,64,14,1,1
*Okedok,A,2024-05-26 18:34:00,2,66,35,38,0,0
*OmarN8,D,2024-05-26 18:21:00,7,60,60,56,1,0
*Oppaa,C,2024-05-26 18:55:00,10,133,64,14,1,0
*Owmicron,C,2024-05-26 18:14:00,1,133,64,14,1,1
*Owmicron,D,2024-05-26 18:40:00,2,60,60,56,1,1
*Owmicron,E,2024-05-26 19:05:00,2,238,45,215,2,0
*PRIYANSHU21830,B,2024-05-26 18:14:00,1,67,38,37,0,0
*PedroBigMan,D,2024-05-26 18:39:00,5,60,60,56,1,1
*Perry_Prasad_Platypus,C,2024-05-26 18:20:00,7,133,64,14,1,0
*Phoenix31,B,2024-05-26 18:16:00,1,67,38,37,0,0
*PixenA,C,2024-05-26 18:14:00,1,133,64,14,1,0
*PixenA,D,2024-05-26 18:32:00,2,60,60,56,1,0
*Prachi_Dubey_29,B,2024-05-26 18:32:00,4,67,38,37,0,0
*Princepp2804,B,2024-05-26 19:06:00,2,67,38,37,0,0
*Prisha1505,A,2024-05-26 18:34:00,4,66,35,38,0,0
*Prisha1505,B,2024-05-26 18:56:00,9,67,38,37,0,0
*Prisha1505,C,2024-05-26 19:11:00,7,133,64,14,1,0
*PvPro,E,2024-05-26 18:48:00,4,238,45,215,2,1
*Qurbonov_Jaloliddin,B,2024-05-26 19:07:00,2,67,38,37,0,0
*Qurbonov_Jaloliddin,A,2024-05-26 19:08:00,2,66,35,38,0,0
*RAWAT_0610,B,2024-05-26 18:20:00,3,67,38,37,0,0
*RGB_ICPC3,D,2024-05-26 19:08:00,6,60,60,56,1,0
*R_Hom,B,2024-05-26 18:28:00,4,67,38,37,0,0
*R_Hom,C,2024-05-26 19:34:00,1,133,64,14,1,0
*Raj_Has_Done_It,A,2024-05-26 18:15:00,1,66,35,38,0,0
*Raj_Has_Done_It,B,2024-05-26 18:15:00,1,67,38,37,0,0
*RecursiveCo,B,2024-05-26 18:30:00,2,67,38,37,0,1
*RecursiveCo,C,2024-05-26 18:46:00,2,133,64,14,1,1
*Riblji_Keksic,C,2024-05-26 18:42:00,5,133,64,14,1,0
*RohitEdwin40,A,2024-05-26 18:30:00,3,66,35,38,0,0
*RohitEdwin40,B,2024-05-26 18:31:00,2,67,38,37,0,0
*RohitEdwin40,C,2024-05-26 19:21:00,4,133,64,14,1,0
*Rubikun,E,2024-05-26 18:22:00,5,238,45,215,2,0
*Ryehl,C,2024-05-26 19:09:00,2,133,64,14,1,0
*SSerxhs,D,2024-05-26 18:20:00,5,60,60,56,1,1
*SSerxhs,E,2024-05-26 18:38:00,14,238,45,215,2,1
*SaadRafi,B,2024-05-26 18:29:00,8,67,38,37,0,0
*Salvatore_Knight,B,2024-05-26 18:21:00,4,67,38,37,0,0
*Savior-of-Cross,D,2024-05-26 18:12:00,2,60,60,56,1,1
*Setsuna,D,2024-05-26 18:47:00,2,60,60,56,1,0
*Shalamagando,C,2024-05-26 19:16:00,4,133,64,14,1,0
*Shamol-_-Hasan,B,2024-05-26 18:21:00,3,67,38,37,0,0
*Shuxrat_programming,C,2024-05-26 19:29:00,2,133,64,14,1,0
*Sniper_01,B,2024-05-26 19:26:00,2,67,38,37,0,0
*Solo_man,B,2024-05-26 18:46:00,2,67,38,37,0,0
*SourPatch,C,2024-05-26 19:16:00,2,133,64,14,1,0
*SpadeA261,C,2024-05-26 18:44:00,2,133,64,14,1,1
*StarSilk,D,2024-05-26 18:30:00,3,60,60,56,1,1
*StarSilk,E,2024-05-26 18:56:00,6,238,45,215,2,1
*Stiff_Subset,A,2024-05-26 18:48:00,2,66,35,38,0,1
*Stiff_Subset,B,2024-05-26 19:21:00,2,67,38,37,0,1
*Sugar_fan,E,2024-05-26 18:27:00,16,238,45,215,2,1
*Sujal_23102453,B,2024-05-26 19:23:00,2,67,38,37,0,0
*Sunny_219,C,2024-05-26 18:43:00,5,133,64,14,1,0
*Sunny_219,B,2024-05-26 18:58:00,2,67,38,37,0,0
*Superposition,D,2024-05-26 19:08:00,2,60,60,56,1,1
*Suryansh03,B,2024-05-26 18:21:00,7,67,38,37,0,0
*Suryansh03,C,2024-05-26 19:15:00,2,133,64,14,1,0
*Susano1,A,2024-05-26 18:29:00,8,66,35,38,0,0
*Susano1,B,2024-05-26 19:06:00,7,67,38,37,0,0
*TKT_YI,E,2024-05-26 18:24:00,26,238,45,215,2,1
*T_San1104,A,2024-05-26 18:23:00,3,66,35,38,0,0
*T_San1104,B,2024-05-26 19:21:00,2,67,38,37,0,0
*T_San1104,C,2024-05-26 19:24:00,2,133,64,14,1,0
*TanjimMinan,B,2024-05-26 18:13:00,1,67,38,37,0,0
*TanjimMinan,C,2024-05-26 19:27:00,3,133,64,14,1,0
*Teja-Smart,D,2024-05-26 19:05:00,4,60,60,56,1,0
*Titu022,B,2024-05-26 18:32:00,2,67,38,37,0,0
*TobleRoneUltra,B,2024-05-26 18:34:00,2,67,38,37,0,0
*Tobo,B,2024-05-26 18:14:00,1,67,38,37,0,1
*Tobo,C,2024-05-26 18:27:00,4,133,64,14,1,1
*Tobo,D,2024-05-26 19:28:00,2,60,60,56,1,1
*Tom66,E,2024-05-26 18:18:00,12,238,45,215,2,1
*Tomoya_11,C,2024-05-26 19:28:00,2,133,64,14,1,0
*Tomoya_11,A,2024-05-26 19:29:00,2,66,35,38,0,0
*Tomoya_11,B,2024-05-26 19:29:00,4,67,38,37,0,0
*Tushar_2489,B,2024-05-26 18:18:00,4,67,38,37,0,0
*Umang0804,D,2024-05-26 19:03:00,2,60,60,56,1,0
*Umang0804,C,2024-05-26 19:27:00,2,133,64,14,1,0
*ValaHardikV08,B,2024-05-26 18:18:00,1,67,38,37,0,0
*Valters07,B,2024-05-26 18:12:00,3,67,38,37,0,1
*Valters07,D,2024-05-26 19:21:00,2,60,60,56,1,1
*VasyaMer,C,2024-05-26 18:35:00,2,133,64,14,1,1
*VivekTeja9999,B,2024-05-26 18:24:00,5,67,38,37,0,0
*Wansur,C,2024-05-26 18:17:00,2,133,64,14,1,1
*Wansur,A,2024-05-26 18:20:00,2,66,35,38,0,1
*Wansur,B,2024-05-26 18:35:00,10,67,38,37,0,1
*Wansur,E,2024-05-26 19:20:00,2,238,45,215,2,0
*WhiteAlex03,B,2024-05-26 18:45:00,4,67,38,37,0,0
*XI_lo,C,2024-05-26 19:06:00,4,133,64,14,1,0
*YYYLLL2021,C,2024-05-26 19:05:00,4,133,64,14,1,1
*Yashh_Kumarr,B,2024-05-26 18:38:00,4,67,38,37,0,0
*Yashh_Kumarr,C,2024-05-26 19:27:00,2,133,64,14,1,0
*YouCanCallMeX,C,2024-05-26 19:05:00,4,133,64,14,1,0
*ZIGAGIGA,B,2024-05-26 18:22:00,8,67,38,37,0,0
*Zoli9,C,2024-05-26 18:31:00,4,133,64,14,1,1
*Zoli9,E,2024-05-26 19:10:00,2,238,45,215,2,0
*_Ash__,D,2024-05-26 19:27:00,14,60,60,56,1,0
*_PRO_CHALLENGER,A,2024-05-26 18:44:00,2,66,35,38,0,0
