who,problem,when,try,problem_len,input_len,output_len,diff,result,start_time,consume_time
*Iftekhar_Hakim_K,B,2024-03-22 17:44:00,1,95,95,23,0,1,2024-03-22 17:38:00,6.0
*Iftekhar_Hakim_K,C,2024-03-22 17:52:00,1,95,116,44,1,1,2024-03-22 17:44:00,8.0
*Iftekhar_Hakim_K,D,2024-03-22 18:49:00,4,115,96,25,1,1,2024-03-22 17:52:00,57.0
*Irmuun.Ch,A,2024-03-22 17:36:00,1,139,85,21,0,1,2024-03-22 17:35:00,1.0
*Irmuun.Ch,B,2024-03-22 17:41:00,1,95,95,23,0,1,2024-03-22 17:36:00,5.0
*Irmuun.Ch,C,2024-03-22 17:49:00,1,95,116,44,1,1,2024-03-22 17:41:00,8.0
*Irmuun.Ch,D,2024-03-22 18:24:00,2,115,96,25,1,1,2024-03-22 17:49:00,35.0
*Irmuun.Ch,E,2024-03-22 18:57:00,1,121,128,20,2,1,2024-03-22 18:24:00,33.0
*JYJin,A,2024-03-22 17:40:00,1,139,85,21,0,1,2024-03-22 17:35:00,5.0
*JYJin,B,2024-03-22 17:46:00,1,95,95,23,0,1,2024-03-22 17:40:00,6.0
*JYJin,C,2024-03-22 17:59:00,1,95,116,44,1,1,2024-03-22 17:46:00,13.0
*JYJin,D,2024-03-22 18:23:00,1,115,96,25,1,0,2024-03-22 17:59:00,24.0
*Jackylkk2003,A,2024-03-22 17:57:00,4,139,85,21,0,1,2024-03-22 17:35:00,22.0
*Jackylkk2003,B,2024-03-22 18:06:00,1,95,95,23,0,1,2024-03-22 17:57:00,9.0
*Jackylkk2003,C,2024-03-22 18:15:00,1,95,116,44,1,1,2024-03-22 18:06:00,9.0
*Jackylkk2003,D,2024-03-22 18:32:00,2,115,96,25,1,1,2024-03-22 18:15:00,17.0
*Jackylkk2003,E,2024-03-22 19:04:00,1,121,128,20,2,0,2024-03-22 18:32:00,32.0
*JagguBandar,E,2024-03-22 18:21:00,1,121,128,20,2,1,2024-03-22 17:35:00,46.0
*JagguBandar,A,2024-03-22 18:25:00,1,139,85,21,0,1,2024-03-22 18:21:00,4.0
*JagguBandar,B,2024-03-22 18:31:00,2,95,95,23,0,1,2024-03-22 18:25:00,6.0
*JagguBandar,C,2024-03-22 18:56:00,4,95,116,44,1,1,2024-03-22 18:31:00,25.0
*Jamshed11,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Jamshed11,B,2024-03-22 17:42:00,1,95,95,23,0,1,2024-03-22 17:37:00,5.0
*Jamshed11,C,2024-03-22 17:56:00,1,95,116,44,1,1,2024-03-22 17:42:00,14.0
*Jamshed11,D,2024-03-22 18:52:00,2,115,96,25,1,1,2024-03-22 17:56:00,56.0
